index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm3,0.0,12.456124625000001,12.454478,3.87500000442742e-06
1,task-5-1,vm1,0.002517,10.747250624999992,10.749336,1.5829999995276012e-06
2,task-8-2,vm3,0.002626,6.89852424999998,6.900847,1.2090000041098392e-06
3,task-2-3,vm3,0.002714,12.89910175,12.901311,1.0420000080557656e-06
4,task-10-4,vm4,0.002796,6.229348833000017,6.23187,1.0420000080557656e-06
7,task-4-7,vm3,0.002927,8.618557124999995,8.62113,2.417000018795079e-06
8,task-7-8,vm4,0.003001,9.196901916999991,9.199531,9.579999868947198e-07
9,task-3-9,vm4,0.003077,20.645790832999978,20.648111,9.590000047410285e-07
10,task-9-10,vm4,0.003187,14.087641292,14.090283,8.329999729994597e-07
12,task-7-12,vm4,0.003259,23.628246292,23.630655,7.080000159476185e-07
15,task-8-15,vm2,0.003322,13.806247917000007,13.809035,6.24999984211172e-07
17,task-5-17,vm4,0.00338,25.12443841700002,25.126925,6.250000126328814e-07
18,task-6-18,vm2,0.003437,21.41271633400001,21.41537,7.079999875259091e-07
19,task-10-19,vm4,0.003499,20.10431541700001,20.10707,7.919999802652455e-07
11,task-1-11,vm3,6.901121,6.118255916999999,13.019092,6.898081667000014
13,task-9-13,vm3,8.621725,13.022958250000016,21.644236,8.618722375000004
5,task-3-5,vm1,10.74948,3.9766920419999963,14.726024,10.746977999999984
14,task-1-14,vm3,12.45617,9.295481249999995,21.751333,12.453308958000008
16,task-2-16,vm3,12.901451,9.283841209000002,22.184977,12.898553875000005
6,task-4-6,vm1,14.726134,6.845442790999982,21.571345,14.723760749999997
